"Аксессуары (116967)",catalogue/aksessuary,100
"Для дома и интерьера (197497)",catalogue/dlya-doma-i-interera,101
"Для домашних животных (5310)",catalogue/dlya-domashnih-zhivotnyh,102
"Канцелярские товары (29760)",catalogue/kantselyarskie-tovary,103
"Картины и панно (108386)",catalogue/kartiny-i-panno,104
"Косметика ручной работы (40729)",catalogue/kosmetika-ruchnoj-raboty,105
"Куклы и игрушки (180784)",catalogue/kukly-i-igrushki,106
"Музыкальные инструменты (1547)",catalogue/muzykalnye-instrumenty,107
"Обувь ручной работы (24502)",catalogue/obuv-ruchnoj-raboty,108
"Одежда (183726)",catalogue/odezhda,109
"Открытки (12663)",catalogue/otkrytki,110
"Подарки к праздникам (56072)",catalogue/podarki-k-prazdnikam,111
"Посуда (23727)",catalogue/posuda,112
"Работы для детей (61592)",catalogue/raboty-dlya-detej,113
"Русский стиль (12826)",catalogue/russkij-stil,114
"Свадебный салон (41220)",catalogue/svadebnyj-salon,115
"Субкультуры (3769)",catalogue/subkultury,116
"Сувениры и подарки (40006)",catalogue/suveniry-i-podarki,117
"Сумки и аксессуары (83408)",catalogue/sumki-i-aksessuary,118
"Украшения (461370)",catalogue/ukrasheniya,119
"Фен-шуй и эзотерика (17407)",catalogue/fen-shuj-i-ezoterika,120
"Цветы и флористика (29807)",catalogue/tsvety-i-floristika,121
